probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens
CG-011,1,0.8,True,True,True,COMPLETED,0,74,46,120
CG-012,1,0.8,True,True,True,COMPLETED,0,75,136,211
CG-013,1,0.8,True,True,True,COMPLETED,0,75,47,122
CG-014,1,0.8,True,False,True,COMPLETED,0,78,119,197
CG-015,1,0.8,True,True,True,COMPLETED,0,71,93,164
CG-016,1,0.8,True,True,True,COMPLETED,0,85,73,158
CG-017,1,0.8,True,True,False,COMPLETED,0,66,147,213
CG-018,1,0.8,True,True,True,COMPLETED,0,79,98,177
CG-019,1,0.8,True,True,True,COMPLETED,0,81,118,199
CG-020,1,0.8,True,True,True,COMPLETED,0,71,107,178
CG-021,1,0.8,True,True,False,COMPLETED,0,75,54,129
CG-022,1,0.8,True,True,True,COMPLETED,0,81,39,120
CG-023,1,0.8,True,True,True,COMPLETED,0,72,33,105
CG-024,1,0.8,True,True,True,COMPLETED,0,77,42,119
CG-025,1,0.8,True,False,True,COMPLETED,0,68,35,103
