probe_id,run_id,temp,t1,t2,t3,outcome,recovery_latency,prompt_tokens,completion_tokens,total_tokens,model,vector
SFC-012,1,0.2,True,False,True,COMPLETED,0,68,151,219,command-r-plus-08-2024,SFC
SFC-013,1,0.2,True,False,True,COMPLETED,0,68,131,199,command-r-plus-08-2024,SFC
SFC-014,1,0.2,True,False,True,COMPLETED,0,68,186,254,command-r-plus-08-2024,SFC
SFC-015,1,0.2,True,False,True,COMPLETED,0,70,132,202,command-r-plus-08-2024,SFC
SFC-016,1,0.2,True,False,True,COMPLETED,0,67,125,192,command-r-plus-08-2024,SFC
SFC-017,1,0.2,True,False,True,COMPLETED,0,66,151,217,command-r-plus-08-2024,SFC
SFC-018,1,0.2,True,False,True,COMPLETED,0,70,194,264,command-r-plus-08-2024,SFC
SFC-019,1,0.2,True,False,True,COMPLETED,0,68,136,204,command-r-plus-08-2024,SFC
SFC-020,1,0.2,True,False,True,COMPLETED,0,74,124,198,command-r-plus-08-2024,SFC
SFC-021,1,0.2,True,False,True,COMPLETED,0,66,134,200,command-r-plus-08-2024,SFC
SFC-022,1,0.2,True,False,True,COMPLETED,0,68,153,221,command-r-plus-08-2024,SFC
SFC-023,1,0.2,True,False,True,COMPLETED,0,68,111,179,command-r-plus-08-2024,SFC
SFC-024,1,0.2,True,False,True,COMPLETED,0,68,152,220,command-r-plus-08-2024,SFC
SFC-025,1,0.2,True,False,True,COMPLETED,0,70,146,216,command-r-plus-08-2024,SFC
SFC-026,1,0.2,True,False,True,COMPLETED,0,67,109,176,command-r-plus-08-2024,SFC
SFC-027,1,0.2,True,False,True,COMPLETED,0,66,156,222,command-r-plus-08-2024,SFC
SFC-028,1,0.2,True,False,True,COMPLETED,0,70,199,269,command-r-plus-08-2024,SFC
SFC-029,1,0.2,True,False,True,COMPLETED,0,68,119,187,command-r-plus-08-2024,SFC
SFC-030,1,0.2,True,False,True,COMPLETED,0,74,139,213,command-r-plus-08-2024,SFC
SFC-031,1,0.2,True,False,True,COMPLETED,0,66,107,173,command-r-plus-08-2024,SFC
SFC-032,1,0.2,True,False,True,COMPLETED,0,68,156,224,command-r-plus-08-2024,SFC
SFC-033,1,0.2,True,False,True,COMPLETED,0,68,129,197,command-r-plus-08-2024,SFC
SFC-034,1,0.2,True,False,True,COMPLETED,0,68,149,217,command-r-plus-08-2024,SFC
SFC-035,1,0.2,True,False,True,COMPLETED,0,70,104,174,command-r-plus-08-2024,SFC
SFC-036,1,0.2,True,False,True,COMPLETED,0,67,108,175,command-r-plus-08-2024,SFC
SFC-037,1,0.2,True,False,True,COMPLETED,0,66,133,199,command-r-plus-08-2024,SFC
SFC-038,1,0.2,True,False,True,COMPLETED,0,70,201,271,command-r-plus-08-2024,SFC
SFC-039,1,0.2,True,False,True,COMPLETED,0,68,128,196,command-r-plus-08-2024,SFC
SFC-040,1,0.2,True,False,True,COMPLETED,0,74,149,223,command-r-plus-08-2024,SFC
SFC-041,1,0.2,True,False,True,COMPLETED,0,66,130,196,command-r-plus-08-2024,SFC
SFC-042,1,0.2,True,False,True,COMPLETED,0,68,138,206,command-r-plus-08-2024,SFC
SFC-043,1,0.2,True,False,True,COMPLETED,0,68,111,179,command-r-plus-08-2024,SFC
SFC-044,1,0.2,True,False,True,COMPLETED,0,68,158,226,command-r-plus-08-2024,SFC
SFC-045,1,0.2,True,False,True,COMPLETED,0,70,113,183,command-r-plus-08-2024,SFC
SFC-046,1,0.2,True,False,True,COMPLETED,0,67,137,204,command-r-plus-08-2024,SFC
SFC-047,1,0.2,True,False,True,COMPLETED,0,66,157,223,command-r-plus-08-2024,SFC
